category_id,category_title
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
29,Nonprofits
29,Activism
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
1,Film
1,Animation
2,Autos
2,Vehicles
10,Music
15,Pets
15,Animals
17,Sports
19,Travel
19,Events
20,Gaming
22,People
22,Blogs
23,Comedy
24,Entertainment
25,News
25,Politics
26,Howto
26,Style
27,Education
28,Science
28,Technology
